genericOrSpecificParsing,verbAssociatorUsed,verbAssociatorProximityBasedOrSyntacticBased,hypernymMutation,closedOrMaximalPattern,minSupport,activityName,pattern,pfIaf,annotation
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,cup,0.8257867870148003,0.8627450980392157
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,salt,1.1345732257664496,0.9019607843137255
true,false,true,false,true,1,bake_parmesan_turkey_meatballs,oven,1.0742235860980214,0.9411764705882352
true,false,true,false,true,1,choosing_outfit,dwelling,0.22803184625915554,0.6666666666666666
true,false,true,false,true,1,choosing_outfit,way,0.5150353599661526,0
true,false,true,false,true,1,choosing_outfit,style,0.9391966944657829,0
true,false,true,false,true,1,choosing_outfit,"style,style",0.7947048953172009,0
true,false,true,false,true,1,choosing_outfit,outfit,0.9572581693593557,1
true,false,true,false,true,1,choosing_outfit,"outfit,style",0.7676126829768418,0.16666666666666666
true,false,true,false,true,1,choosing_outfit,"outfit,outfit",0.8488893199979192,1
true,false,true,false,true,1,choosing_outfit,"outfit,outfit,outfit",0.7676126829768418,1
true,false,true,false,true,1,choosing_outfit,clothing,0.7856741578704145,1
true,false,true,false,true,1,choosing_outfit,coloring_material,0.8037356327639873,0
true,false,true,false,true,1,choosing_outfit,dress,0.7947048953172009,1
true,false,true,false,true,1,choosing_outfit,contact,0.3601958638061572,0
true,false,true,false,true,1,choosing_outfit,right_field,0.565419253875885,0
true,false,true,false,true,1,clean,dwelling,0.29392676323579875,0.6666666666666666
true,false,true,false,true,1,clean,"dwelling,dwelling",0.6313785024861698,0.6666666666666666
true,false,true,false,true,1,clean,terminus,0.5499715604215225,0
true,false,true,false,true,1,clean,merchandise,0.8683088005225875,0.9607843137254902
true,false,true,false,true,1,clean,way,0.6084791732323228,0.9803921568627452
true,false,true,false,true,1,clean,water,0.6143299345134029,0.9019607843137255
true,false,true,false,true,1,clean,"water,water",0.7103008152969411,0.9019607843137255
true,false,true,false,true,1,clean,"water,water,water",0.6529027696163802,0.9607843137254902
true,false,true,false,true,1,clean,contact,0.4391861848162794,0
true,false,true,false,true,1,clean,right_field,0.5441207991404425,0
true,false,true,false,true,1,cook_pasta,food,0.7879729812794426,0.8627450980392157
true,false,true,false,true,1,cook_pasta,pasta,1.2077243041524233,0.9803921568627452
true,false,true,false,true,1,cook_pasta,"pasta,pasta",1.1791953835818936,1
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta",1.169685743391717,1
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta",1.1601761032015403,0.6
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta,pasta",1.1316471826310106,0.5666666666666667
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta",1.0936086218703045,0.5333333333333333
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta",1.0650797012997748,0.5
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta",1.0365507807292451,0.4666666666666666
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta",1.0080218601587154,0.43333333333333335
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,pasta,sauce",1.0175315003488918,0.6
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,sauce",1.0365507807292451,1
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,pasta,sauce,pasta",1.0080218601587154,0.5
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,sauce",1.0460604209194218,1
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,pasta,sauce,pasta",1.0175315003488918,0.5
true,false,true,false,true,1,cook_pasta,"pasta,pasta,pasta,sauce,pasta",1.0270411405390687,0.5333333333333333
true,false,true,false,true,1,cook_pasta,"pasta,sauce,pasta,pasta",1.0080218601587154,0.4666666666666666
true,false,true,false,true,1,cook_pasta,sauce,0.8024312011194323,0.9411764705882352
true,false,true,false,true,1,cook_pasta,"sauce,pasta",1.0365507807292451,1
true,false,true,false,true,1,cook_pasta,"sauce,pasta,pasta",1.0175315003488918,0.5
true,false,true,false,true,1,cook_pasta,"sauce,pasta,pasta,pasta",1.0080218601587154,0.4666666666666666
true,false,true,false,true,1,do_homework,dwelling,0.2576945254473384,0.6666666666666666
true,false,true,false,true,1,do_homework,way,0.5978479118801164,0
true,false,true,false,true,1,do_homework,thing,0.8802215737004889,0.6666666666666666
true,false,true,false,true,1,do_homework,terminus,0.6120823859725002,0
true,false,true,false,true,1,do_homework,school,1.0945363916449558,0.9803921568627452
true,false,true,false,true,1,do_homework,"school,terminus",0.8878756743413627,0.16666666666666666
true,false,true,false,true,1,do_homework,"school,school",0.964416680750101,1
true,false,true,false,true,1,do_homework,"school,work",0.9338002781866057,1
true,false,true,false,true,1,do_homework,work,1.0639199890814606,0.7450980392156863
true,false,true,false,true,1,do_homework,contact,0.41383478715615274,0
true,false,true,false,true,1,do_homework,right_field,0.5456548402080428,0
true,false,true,false,true,1,fill_medicine_cabinet,dwelling,0.3023453693220187,0.6666666666666666
true,false,true,false,true,1,fill_medicine_cabinet,"dwelling,dwelling",0.7201830259919434,0.6
true,false,true,false,true,1,fill_medicine_cabinet,"dwelling,dwelling,dwelling",0.87632231488344,0.5
true,false,true,false,true,1,fill_medicine_cabinet,"dwelling,dwelling,cabinet",0.757900380439732,0.8431372549019608
true,false,true,false,true,1,fill_medicine_cabinet,"dwelling,cabinet",0.9236910886609232,0.8431372549019608
true,false,true,false,true,1,fill_medicine_cabinet,"dwelling,cabinet,cabinet",0.7934269607728444,1
true,false,true,false,true,1,fill_medicine_cabinet,"dwelling,contact",0.8052691542172151,0.16666666666666666
true,false,true,false,true,1,fill_medicine_cabinet,cabinet,1.0657974099933731,0.8431372549019608
true,false,true,false,true,1,fill_medicine_cabinet,"cabinet,dwelling",0.8289535411059568,0.5
true,false,true,false,true,1,fill_medicine_cabinet,"cabinet,cabinet",0.9355332821052941,1
true,false,true,false,true,1,fill_medicine_cabinet,"cabinet,cabinet,cabinet",0.8407957345503275,1
true,false,true,false,true,1,fill_medicine_cabinet,"cabinet,cabinet,cabinet,cabinet",0.757900380439732,0.6
true,false,true,false,true,1,fill_medicine_cabinet,contact,0.40410653357623694,0
true,false,true,false,true,1,make_coffee,dwelling,0.32233654200023004,0.6666666666666666
true,false,true,false,true,1,make_coffee,"dwelling,coffee",1.1382555766614724,1
true,false,true,false,true,1,make_coffee,coffee,1.2446346025176849,1
true,false,true,false,true,1,make_coffee,"coffee,coffee",1.2339966999320635,1
true,false,true,false,true,1,make_coffee,"coffee,coffee,coffee",1.2233587973464422,1
true,false,true,false,true,1,make_coffee,"coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee",1.212720894760821,0.5333333333333333
true,false,true,false,true,1,make_coffee,"coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee",1.1914450895895785,0.4666666666666666
true,false,true,false,true,1,make_coffee,"coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee",1.170169284418336,0.45
true,false,true,false,true,1,make_coffee,"coffee,coffee,water,coffee",1.1382555766614724,1
true,false,true,false,true,1,make_coffee,water,0.7122062291646908,0.8823529411764706
true,false,true,false,true,1,make_low_carb_pancakes,pancake,1.2298277921620229,1
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake",1.2043830792207395,1
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake,pancake,pancake,pancake",1.195901508240312,0.6
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake,pancake,pancake,pancake,pancake",1.1789383662794564,0.5666666666666667
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake,pancake,pancake,pancake,pancake,pancake",1.1534936533381732,0.5333333333333333
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake,pancake,egg",1.1450120823577454,1
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake,egg",1.1534936533381732,1
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,pancake,egg,pancake",1.1365305113773176,1
true,false,true,false,true,1,make_low_carb_pancakes,"pancake,egg",1.1704567952990286,1
true,false,true,false,true,1,make_low_carb_pancakes,"egg,pancake",1.1619752243186008,1
true,false,true,false,true,1,make_mashed_potato_casserole,dish,1.1388896238354498,0.9019607843137255
true,false,true,false,true,1,make_mashed_potato_casserole,"dish,potato",1.1222634979400419,0.9803921568627452
true,false,true,false,true,1,make_mashed_potato_casserole,"dish,potato,potato",1.0806981832015217,0.9803921568627452
true,false,true,false,true,1,make_mashed_potato_casserole,potato,1.213707190364786,0.9803921568627452
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,dish,potato",1.1056373720446337,0.6333333333333333
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,dish",1.1305765608877458,0.6333333333333333
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,dish,potato",1.0806981832015217,0.65
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato",1.2053941274170819,0.9803921568627452
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,dish",1.1139504349923377,0.5666666666666667
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato",1.18045493857397,0.9803921568627452
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato,dish",1.0806981832015217,0.5666666666666667
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato,potato,potato",1.1721418756262658,0.6
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato,potato,potato,potato",1.1638288126785619,0.5666666666666667
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato,potato,potato,potato,potato",1.1305765608877458,0.5333333333333333
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato,potato,potato,potato,potato,potato",1.0806981832015217,0.5
true,false,true,false,true,1,make_mashed_potato_casserole,"potato,potato,potato,potato,potato,potato,potato,potato,potato,potato",1.0723851202538177,0.4666666666666666
true,false,true,false,true,1,make_mashed_potato_casserole,casserole,1.1139504349923377,0.9215686274509803
true,false,true,false,true,1,make_mashed_potato_casserole,"casserole,potato",1.0973243090969298,0.9803921568627452
true,false,true,false,true,1,make_mashed_potato_casserole,"casserole,potato,potato,potato",1.0806981832015217,0.9803921568627452
true,false,true,false,true,1,make_stuffed_crust_pizza,crust,1.1656101833102128,0.9803921568627452
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,crust",1.1248545824951703,0.5
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,crust,pizza",1.116703462332162,0.4666666666666666
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,pizza",1.1574590631472041,0.5
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,pizza,crust",1.0922501018431363,0.5333333333333333
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,pizza,crust,pizza",1.0759478615171194,0.5
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,pizza,pizza",1.116703462332162,0.5
true,false,true,false,true,1,make_stuffed_crust_pizza,"crust,pizza,pizza,pizza",1.0759478615171194,0.5333333333333333
true,false,true,false,true,1,make_stuffed_crust_pizza,pizza,1.1819124236362297,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,crust",1.1574590631472041,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,crust,crust",1.100401222006145,0.6
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,crust,crust,pizza",1.0840989816801279,0.5666666666666667
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,crust,pizza",1.1411568228211872,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,crust,pizza,pizza",1.0840989816801279,0.6333333333333333
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,pizza",1.1737613034732213,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,pizza,crust",1.1248545824951703,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,pizza,crust,pizza",1.0840989816801279,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,pizza,pizza",1.1248545824951703,1
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,pizza,pizza,crust",1.0759478615171194,0.6333333333333333
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,pizza,pizza,pizza",1.0922501018431363,0.6333333333333333
true,false,true,false,true,1,make_stuffed_crust_pizza,"pizza,cheese",1.067796741354111,1
true,false,true,false,true,1,make_stuffed_crust_pizza,cheese,1.0759478615171194,0.9411764705882352
true,false,true,false,true,1,make_tea,tea,1.2172339443426,1
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea",1.1982146639622466,0.6333333333333333
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea",1.1887050237720702,0.6
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea,tea,tea",1.169685743391717,0.5333333333333333
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea",1.1601761032015403,0.5
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea",1.1221375424408342,0.4666666666666666
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea",1.1031182620604811,0.45
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea",1.0840989816801279,0.43333333333333335
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea,tea",1.0745893414899514,0.4166666666666667
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,tea,water",1.0745893414899514,0.5
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,tea,water",1.0840989816801279,0.5333333333333333
true,false,true,false,true,1,make_tea,"tea,tea,tea,tea,cup",1.0840989816801279,0.6333333333333333
true,false,true,false,true,1,make_tea,"tea,tea,tea,cup",1.1031182620604811,1
true,false,true,false,true,1,make_tea,"tea,tea,tea,cup,tea",1.0840989816801279,1
true,false,true,false,true,1,make_tea,"tea,tea,tea,cup,tea,tea,tea,tea",1.0745893414899514,0.65
true,false,true,false,true,1,make_tea,"tea,tea,tea,water",1.0936086218703045,0.5
true,false,true,false,true,1,make_tea,"tea,tea,tea,water,tea",1.0745893414899514,0.5166666666666667
true,false,true,false,true,1,make_tea,cup,0.8530349705593965,0.8431372549019608
true,false,true,false,true,1,make_tea,"cup,tea",1.1031182620604811,0.6333333333333333
true,false,true,false,true,1,play_video_games,game,1.1964316064265885,1
true,false,true,false,true,1,play_video_games,"game,game,game,game",1.1473975241959906,1
true,false,true,false,true,1,play_video_games,"game,game,game,game,game",1.137590707749871,0.6333333333333333
true,false,true,false,true,1,play_video_games,"game,game,game,game,game,game,game",1.1277838913037515,0.6166666666666667
true,false,true,false,true,1,play_video_games,"game,game,game,game,game,game,game,game",1.1081702584115123,0.6
true,false,true,false,true,1,play_video_games,"game,game,game,game,game,game,game,game,game",1.0983634419653927,0.5666666666666667
true,false,true,false,true,1,play_video_games,"game,game,game,game,game,game,game,game,game,game",1.0885566255192731,0.5333333333333333
true,false,true,false,true,1,play_video_games,"game,game,game,game,game,game,game,game,game,game,game",1.068942992627034,0.5166666666666667
true,false,true,false,true,1,play_video_games,video_recording,0.842417215364404,0.9803921568627452
true,false,true,false,true,1,play_video_games,"video_recording,game",1.0885566255192731,1
true,false,true,false,true,1,prepare_birthday_card,card,1.1768179735343494,1
true,false,true,false,true,1,prepare_birthday_card,"card,card",1.1593836331856924,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card",1.133232122662707,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card",1.1245149524883784,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card,card",1.0983634419653927,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card,card,card",1.0896462717910642,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card,card,card,card",1.0547775910937502,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card,card,card,card,card",1.0460604209194218,1
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card,card,card,card,card,card",1.0286260805707645,0.6333333333333333
true,false,true,false,true,1,prepare_birthday_card,"card,card,card,card,card,card,card,card,card,card",1.0111917402221076,0.6166666666666667
true,false,true,false,true,1,prepare_soup,food,0.8170311682127552,0.8627450980392157
true,false,true,false,true,1,prepare_soup,vegetable,1.0173450368157513,0.9411764705882352
true,false,true,false,true,1,prepare_soup,"vegetable,soup",1.0091406413575599,1
true,false,true,false,true,1,prepare_soup,soup,1.2142505278123483,1
true,false,true,false,true,1,prepare_soup,"soup,food",1.0091406413575599,1
true,false,true,false,true,1,prepare_soup,"soup,soup",1.181432945979582,1
true,false,true,false,true,1,prepare_soup,"soup,soup,soup",1.1568197596050074,1
true,false,true,false,true,1,prepare_soup,"soup,soup,soup,soup",1.1240021777722413,1
true,false,true,false,true,1,prepare_soup,"soup,soup,soup,soup,soup",1.0993889913976667,0.65
true,false,true,false,true,1,prepare_soup,"soup,soup,soup,soup,soup,soup,soup",1.058367014106709,0.6166666666666667
true,false,true,false,true,1,prepare_soup,"soup,soup,soup,soup,soup,soup,soup,soup",1.0337538277321343,0.6
true,false,true,false,true,1,vacuum,dwelling,0.29187729240736204,0.6666666666666666
true,false,true,false,true,1,vacuum,"dwelling,vacuum",0.9887420416909602,0.9803921568627452
true,false,true,false,true,1,vacuum,"dwelling,vacuum,vacuum,vacuum,vacuum",0.9629487710381525,0.9803921568627452
true,false,true,false,true,1,vacuum,vacuum,1.177892693144883,0.9803921568627452
true,false,true,false,true,1,vacuum,"vacuum,vacuum",1.1692949362606138,0.9803921568627452
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum",1.1520994224920753,0.9803921568627452
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum",1.1177083949549984,0.9803921568627452
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum,vacuum",1.091915124302191,0.9803921568627452
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum",1.066121853649383,0.65
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum",1.0317308261123062,0.6333333333333333
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum",1.0231330692280372,0.6166666666666667
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum",0.9973397985752294,0.6
true,false,true,false,true,1,vacuum,"vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum,vacuum",0.9543510141538833,0.5666666666666667
true,false,true,false,true,1,watch_tv,dwelling,0.2581063660131218,0.6666666666666666
true,false,true,false,true,1,watch_tv,"dwelling,television_receiver",0.902764472848268,0.9803921568627452
true,false,true,false,true,1,watch_tv,"dwelling,television_receiver,television_receiver",0.8855689590797297,0.9803921568627452
true,false,true,false,true,1,watch_tv,terminus,0.5542995208212256,0
true,false,true,false,true,1,watch_tv,television_receiver,1.143501665607806,0.9803921568627452
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver",1.0833173674179217,0.9803921568627452
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver",1.0403285829965756,0.9803921568627452
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver",1.0059375554594987,0.6333333333333333
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.9973397985752294,0.6166666666666667
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.9887420416909602,0.5833333333333334
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.980144284806691,0.5483333333333333
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.9543510141538833,0.5166666666666667
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.9457532572696141,0.5
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.9113622297325372,0.48333333333333334
true,false,true,false,true,1,watch_tv,"television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver,television_receiver",0.8941667159639988,0.4666666666666666
true,false,true,false,true,1,watch_tv,video_recording,0.6731984826866471,0.9803921568627452
true,false,true,false,true,1,water_plants,plant,1.2139806463828025,1
true,false,true,false,true,1,water_plants,"plant,plant,plant",1.1974639028946013,1
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant",1.1809471594063996,1
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,plant,plant",1.1726887876622991,1
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,plant,plant,plant",1.1561720441740977,1
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,plant,plant,water",1.1561720441740977,0.6333333333333333
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,plant,plant,water,plant",1.1313969289417956,0.65
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,plant,water,plant",1.147913672429997,0.6583333333333333
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,plant,water,plant,plant",1.1313969289417956,0.65
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,water",1.1726887876622991,0.6566666666666666
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,water,plant",1.1644304159181984,0.66
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,water,plant,plant",1.1561720441740977,0.66
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,water,plant,plant,plant",1.1313969289417956,0.6616666666666666
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,water,plant,water",1.1313969289417956,0.6
true,false,true,false,true,1,water_plants,"plant,plant,plant,plant,water,water",1.1396553006858963,0.6
true,false,true,false,true,1,water_plants,"plant,plant,plant,water",1.1809471594063996,0.6333333333333333
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant",1.1726887876622991,0.65
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,plant",1.1644304159181984,0.65
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,plant,plant",1.1561720441740977,0.6566666666666666
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,plant,plant,plant",1.1396553006858963,0.66
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,plant,water",1.1313969289417956,0.66
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,water",1.1561720441740977,0.65
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,water,plant",1.1396553006858963,0.6566666666666666
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,plant,water,water",1.1313969289417956,0.6333333333333333
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,water",1.1644304159181984,1
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,water,plant,plant",1.1396553006858963,1
true,false,true,false,true,1,water_plants,"plant,plant,plant,water,water,plant,water",1.147913672429997,1
